PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
disease,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,cardiovascular disease,Medium,EFO_0000319,
,"Non-cancer illness code, self-reported: osteopenia","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Illnesses of father: Stroke,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Illnesses of father: Stroke,stroke,Medium,EFO_0000712,
,Mango intake,energy intake,Medium,EFO_0003939,
,Mango intake,fish consumption measurement,Medium,EFO_0010139,
disease,"Non-infective gastro-enteritis and colitis, unspecified",Crohn's disease,Good,EFO_0000384,
,Birth weight of first child,birth weight,High,EFO_0004344,
,Leg fat-free mass (left),left ventricular mass,Medium,EFO_0009289,
,Leg fat-free mass (left),left ventricular mass index,Medium,EFO_0009290,
,Main speciality of consultant (recoded): Gynaecology,consultant,Good,EFO_0001732,
,"Injury, poisoning and certain other consequences of external causes",N/A,Did not map,N/A,
,Had menopause,menopause,High,EFO_0003922,
,Chalazion,hordeolum,Good,EFO_0007315,
,Hearing difficulty/problems with background noise,hearing loss,High,EFO_0004238,
disease,Excision or biopsy of axillary lymph node,lymph node cancer,Medium,MONDO_0001082,
disease,Excision or biopsy of axillary lymph node,lymph node neoplasm,Medium,MONDO_0024339,
,Illnesses of siblings: Chronic bronchitis/emphysema,chronic bronchitis,Medium,EFO_0006505,
,Illnesses of siblings: Chronic bronchitis/emphysema,number of siblings,Medium,EFO_0009713,
disease,Other rheumatoid arthritis,rheumatoid arthritis,High,EFO_0000685,
,Malignant neoplasm of urinary organs,Malignant Urinary System Neoplasm,Good,EFO_1000363,
,Work hours - lumped category: 30 to 40 hours,milligram per day,Good,EFO_0004419,
,Workplace very noisy: Sometimes,very low birth weight infant,Good,EFO_0003965,
,Father still alive,alive at endpoint,Good,EFO_0004951,
,Adopted as a child,Disease with focal palmoplantar keratoderma as a major feature,Medium,Orphanet_307871,
,Adopted as a child,Disease with diffuse palmoplantar keratoderma as a major feature,Medium,Orphanet_307711,
,"Job coding: chemist (analytic, developmental, industrial, research)",job-related exhaustion measurement,Medium,EFO_0007881,
,"Job coding: chemist (analytic, developmental, industrial, research)",job satisfaction measurement,Medium,EFO_0009723,
,Rheumatoid arthritis,rheumatoid arthritis,High,EFO_0000685,
,Main speciality of consultant (recoded): Adult mental illness,consultant,Good,EFO_0001732,
,Mouth/teeth dental problems: None of the above,Abnormality of the dentition,Medium,HP_0000164,
,Mouth/teeth dental problems: None of the above,Diastema,Medium,HP_0000699,
disease,Syncope and collapse,Syncope,High,HP_0001279,
disease,Acute transmural myocardial infarction of inferior wall,inferior myocardial infarction,Medium,EFO_1000983,
disease,Acute transmural myocardial infarction of inferior wall,anterolateral myocardial infarction,Medium,EFO_1000812,
,Porridge intake,energy intake,Medium,EFO_0003939,
,Porridge intake,fish consumption measurement,Medium,EFO_0010139,
,Chocolate-covered biscuits intake,energy intake,Medium,EFO_0003939,
,Chocolate-covered biscuits intake,fish consumption measurement,Medium,EFO_0010139,
,"Forced expiratory volume in 1-second (FEV1), predicted",forced expiratory volume,Medium,EFO_0004314,
,"Forced expiratory volume in 1-second (FEV1), predicted",volume,Medium,EFO_0001715,
,PCT where patients GP was registered: WESTERN CHESHIRE PCT,platelet crit,Good,EFO_0007985,
disease,Unknown and unspecified causes of morbidity,disease,High,EFO_0000408,
,Ever unenthusiastic/disinterested for a whole week,depressive symptom measurement,High,EFO_0007006,
,Job SOC coding: IT strategy and planning professionals,N/A,Did not map,N/A,
disease,"Coxarthrosis, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
,Leg predicted mass (left),left ventricular mass index,Medium,EFO_0009290,
,Leg predicted mass (left),left ventricular mass,Medium,EFO_0009289,
disease,"Infection following a procedure, not elsewhere classified",respiratory system disease,Medium,EFO_0000684,
disease,"Infection following a procedure, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318,
,Eye problems/disorders: Glaucoma,glaucoma,Good,EFO_0000516,
disease,Labour and delivery complicated by foetal heart rate anomaly,N/A,Did not map,N/A,
,"Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner",sudden infant death syndrome,Good,EFO_0005303,
,Recent medication for asthma,asthma,Medium,EFO_0000270,
,Recent medication for asthma,atopic asthma,Medium,EFO_0010638,
,Carpal tunnel syndrome,carpal tunnel syndrome,High,EFO_0004143,
disease,"Asthma, unspecified",asthma,Good,EFO_0000270,
,Crisp intake,energy intake,Medium,EFO_0003939,
,Crisp intake,fish consumption measurement,Medium,EFO_0010139,
disease,Other and unspecified symptoms and signs involving the urinary system,N/A,Did not map,N/A,
,Mental health problems ever diagnosed by a professional: Social anxiety or social phobia,social anxiety disorder,Medium,EFO_1001917,
,Mental health problems ever diagnosed by a professional: Social anxiety or social phobia,social desirability,Medium,EFO_0004366,
,"Job coding: scientific researcher, scientific officer, medical research associate, experimental officer",study design,Good,EFO_0001426,
,Illnesses of father: Diabetes,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Age stroke diagnosed,stroke,Medium,EFO_0000712,
,Age stroke diagnosed,age,Medium,EFO_0000246,
,"Cancer code, self-reported: bladder cancer","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,"Non-cancer illness code, self-reported: pneumonia","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: pneumonia",pneumonia,Medium,EFO_0003106,
,Difficulty not smoking for 1 day,smoking behavior,Good,EFO_0004318,
,"Job coding: software professional, analyst-programmer, computer programmer, software analyst or engineer, systems designer or programmer",software,Medium,EFO_0002029,
,"Job coding: software professional, analyst-programmer, computer programmer, software analyst or engineer, systems designer or programmer",data analyst,Medium,EFO_0001734,
disease,Acute myocardial infarction,acute myocardial infarction,High,EFO_0008583,
,White pasta intake,energy intake,Medium,EFO_0003939,
,White pasta intake,fish consumption measurement,Medium,EFO_0010139,
,Monocyte percentage,monocyte percentage of leukocytes,Good,EFO_0007989,
disease,Special screening examination for other specified diseases and disorders,digestive system disease,Medium,EFO_0000405,
disease,Special screening examination for other specified diseases and disorders,cardiovascular disease,Medium,EFO_0000319,
,Ganglion,basal ganglion,Medium,UBERON_0002420,
,Ganglion,inferior vagus X ganglion,Medium,UBERON_0005363,
,Ganglion,retinal ganglion,Medium,EFO_0002691,
,Ganglion,main ciliary ganglion,Medium,UBERON_0002058,
,Ganglion,trigeminal ganglion,Medium,UBERON_0001675,
,Job SOC coding: Retail and wholesale managers,N/A,Did not map,N/A,
,Types of physical activity in last 4 weeks: None of the above,INTACT,Good,EFO_0010037,
,Able to confide,able to hear with hearing aids,Good,EFO_0009720,
,Hair/balding pattern: Pattern 1,"androgenetic alopecia, balding measurement",High,"EFO_0004191, EFO_0007825",
,"Non-cancer illness code, self-reported: stomach disorder","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: stomach disorder",nosophobia,Medium,EFO_1001903,
treatment,venlafaxine,CN236587,Medium,CN236587,
treatment,venlafaxine,"response to venlafaxine, generalized anxiety disorder",Medium,"EFO_0006328, EFO_1001892",
treatment,venlafaxine,response to venlafaxine,Medium,EFO_0006328,
treatment,venlafaxine,generalized anxiety disorder,Medium,EFO_1001892,
,Illnesses of father: Prostate cancer,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
disease,Delivery of simple parenteral chemotherapy for neoplasm at first attendance,neoplasm,Good,EFO_0000616,
treatment,folic acid product,abscisic acid treatment,Good,EO_0007105,
,Job SOC coding: Assemblers and routine operatives n.e.c.,N/A,Did not map,N/A,
,PCT where patients GP was registered: ROCHDALE PCT,platelet crit,Good,EFO_0007985,
,Illnesses of mother: Lung cancer,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Number of treatments/medications taken,"number of treatments or medications taken, self-reported",High,EFO_0009803,
,"Non-cancer illness code, self-reported: spontaneous pneumothorax/recurrent pneumothorax",Spontaneous pneumothorax,Medium,HP_0002108,
,"Non-cancer illness code, self-reported: spontaneous pneumothorax/recurrent pneumothorax",Familial spontaneous pneumothorax,Medium,Orphanet_2903,
,Malignant neoplasm of skin,skin neoplasm,Good,EFO_0004198,
,"Job coding: further education teaching professional, college lecturer/professor",job satisfaction measurement,Medium,EFO_0009723,
,"Job coding: further education teaching professional, college lecturer/professor",job-related exhaustion measurement,Medium,EFO_0007881,
disease,Ulcerative colitis,ulcerative colitis,High,EFO_0000729,
,Father's age at death,father's age at death,High,EFO_0009712,
,Types of spread used on bread/crackers: Low fat polyunsaturated margarine on bread/crackers,low fat diet,Good,EFO_0002758,
disease,Unspecified local anaesthetics for ophthalmology procedures,unspecified juvenile idiopathic arthritis,Medium,EFO_0009734,
disease,Unspecified local anaesthetics for ophthalmology procedures,fetal growth restriction,Medium,EFO_0000495,
,PCT where patients GP was registered: SALFORD PCT,platelet crit,Good,EFO_0007985,
disease,Other specified other operations on unspecified organ,anthrax infection,Medium,EFO_0000778,
disease,Other specified other operations on unspecified organ,glaucoma,Medium,EFO_0000516,
disease,Haemorrhoids,hemorrhoid,High,EFO_0009552,
,Doctor diagnosed asthma,asthma,Medium,EFO_0000270,
,Doctor diagnosed asthma,atopic asthma,Medium,EFO_0010638,
disease,Postmenopausal bleeding,postmenopausal osteoporosis,Good,EFO_0003854,
,#Polyarthropathies,N/A,Did not map,N/A,
,Sources of admission to hospital (recoded): Transfer within NHS provider,Febrile seizure (within the age range of 3 months to 6 years),Medium,HP_0002373,
,Sources of admission to hospital (recoded): Transfer within NHS provider,material supplier role,Medium,OBI_0000018,
,Ease of skin tanning,"ease of getting up in the morning, self-reported",Good,EFO_0009817,
treatment,haemorroidectomy / piles surgery/ banding of piles,prophylactic surgery,Good,EFO_0009580,
,Had major operations,"number of operations, self-reported",Good,EFO_0009802,
,Job SOC coding: IT operations technicians,"number of operations, self-reported",Medium,EFO_0009802,
,Job SOC coding: IT operations technicians,job-related exhaustion measurement,Medium,EFO_0007881,
,Tobacco smoking: Ex-smoker,nicotine dependence,Medium,EFO_0003768,
,Tobacco smoking: Ex-smoker,smoking behavior,Medium,EFO_0004318,
treatment,incisional hernia repair,Incisional hernia,Medium,HP_0004872,
treatment,incisional hernia repair,Hernia,Medium,HP_0100790,
treatment,lansoprazole,N/A,Did not map,N/A,
,Baked bean intake,energy intake,Good,EFO_0003939,
,Easily tired during worst period of anxiety,period of infection,Medium,EFO_0000648,
,Easily tired during worst period of anxiety,anxiety,Medium,EFO_0005230,
,Typical diet yesterday,diet,Good,EFO_0002755,
disease,Unspecified haemorrhoids with other complications,ophthalmic herpes zoster,Medium,EFO_0007403,
disease,Unspecified haemorrhoids with other complications,malaria,Medium,EFO_0001068,
disease,Obstructive and reflux uropathy,urinary tract obstruction,High,EFO_0009571,
,PCT responsible for patient data: NORTH TYNESIDE PCT,platelet crit,Good,EFO_0007985,
treatment,cipralex 5mg tablet,N/A,Did not map,N/A,
,Watercress intake,energy intake,Medium,EFO_0003939,
,Watercress intake,fish consumption measurement,Medium,EFO_0010139,
,Obstetrics,pregnancy disorder,Medium,EFO_0009682,
,Obstetrics,antiphospholipid syndrome,Medium,EFO_0002689,
,Pea intake,energy intake,Good,EFO_0003939,
,PCT responsible for patient data: WIRRAL PCT,platelet crit,Good,EFO_0007985,
,Main speciality of consultant (recoded): Radiology,consultant,Good,EFO_0001732,
,Cancer of primary lymphoid hematopoietic,hematopoietic and lymphoid cell neoplasm,Medium,MONDO_0044881,
,Cancer of primary lymphoid hematopoietic,hematopoietic and lymphoid system neoplasm,Medium,MONDO_0002334,
disease,Without complications,Hermansky-Pudlak syndrome without pulmonary fibrosis,Medium,Orphanet_231512,
disease,Without complications,2p21 microdeletion syndrome without cystinuria,Medium,Orphanet_369881,
,Other egg intake,energy intake,Medium,EFO_0003939,
,Other egg intake,fish consumption measurement,Medium,EFO_0010139,
,Mouth/teeth dental problems: Loose teeth,Dental crowding,Medium,HP_0000678,
,Mouth/teeth dental problems: Loose teeth,Diastema,Medium,HP_0000699,
,Fractured heel (right),Plantar Fasciitis,Good,EFO_1001909,
,"Stroke, including SAH",stroke,Medium,EFO_0000712,
,"Stroke, including SAH",large artery stroke,Medium,EFO_0005524,
,Chest pain or discomfort walking normally,Chest pain,High,HP_0100749,
disease,Retinal detachments and breaks,retinal detachment,High,EFO_0005773,
,Glycated haemoglobin,HbA1c measurement,Medium,EFO_0004541,
,Glycated haemoglobin,percent glycated albumin,Medium,EFO_0009304,
disease,Unspecified urinary incontinence,Urinary incontinence,High,HP_0000020,
,Types of transport used (excluding work): Car/motor vehicle,INTACT,Good,EFO_0010037,
disease,Other specified intervertebral disk displacement,Intervertebral Disc Displacement,Medium,EFO_1001800,
disease,Other specified intervertebral disk displacement,discitis,Medium,EFO_1000900,
,Forced vital capacity (FVC),vital capacity,High,EFO_0004312,
disease,Spontaneous abortion,spontaneous abortion,High,EFO_1001255,
,PCT responsible for patient data: SOUTH BIRMINGHAM PCT,platelet crit,Good,EFO_0007985,
,Cancer diagnosed by doctor,cancer,High,EFO_0000311,
,Pack years adult smoking as proportion of life span exposed to smoking PREVIEW ONLY,smoking behavior,Medium,EFO_0004318,
,Pack years adult smoking as proportion of life span exposed to smoking PREVIEW ONLY,smoking initiation,Medium,EFO_0005670,
,"Non-cancer illness code, self-reported: hiatus hernia","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
